id col2 col3 col4 col5 col6 col7
1 5 0 0.0 13.234800000000002 8.7136 0.5
2 5 0 0.0 13.193200000000001 8.8156 0.5
3 5 0 0.0 13.065000000000001 8.4734 0.5
5 5 0 0.0 12.954399999999998 8.3924 0.5
6 5 0 0.0 13.4988 8.732 0.5
7 5 0 0.0 13.118799999999998 8.6485 0.5
8 5 0 0.0 12.8296 8.1098 0.5
9 5 0 0.0 12.812000000000001 8.3008 0.5
10 5 0 0.0 12.6146 8.0201 0.5
11 5 0 0.0 12.7306 8.2977 0.5
13 5 0 0.0 12.7858 8.8614 0.5
15 5 0 0.0 13.663400000000001 8.1937 0.5
16 4 1 0.0 12.999799999999999 8.408 0.4
17 5 0 0.0 13.741399999999999 8.0132 0.5
18 5 0 0.0 13.103399999999999 8.2617 0.5
20 5 0 0.0 13.5214 8.0363 0.5
21 5 0 0.0 13.0798 8.2299 0.5
22 5 0 0.0 13.2732 8.3342 0.5
23 5 0 0.0 12.862200000000001 8.2098 0.5
25 5 0 0.0 12.892399999999999 8.4024 0.5
26 5 0 0.0 13.632200000000001 8.2018 0.5
27 5 0 0.0 12.7254 8.2087 0.5
28 5 0 0.0 13.1238 7.9034 0.5
29 5 0 0.0 13.009199999999998 8.3082 0.5
31 5 0 0.0 12.900799999999998 7.9322 0.5
32 5 0 0.0 12.708400000000001 8.1038 0.5
34 5 0 0.0 13.0096 7.946 0.5
35 5 0 0.0 13.2266 7.948400000000001 0.5
36 5 0 0.0 12.742799999999999 7.7655 0.5
37 5 0 0.0 13.7326 8.1582 0.5
38 5 0 0.0 12.979800000000001 8.3833 0.5
39 5 0 0.0 13.419400000000001 8.0287 0.5
40 5 0 0.0 13.105 7.8574 0.5
41 5 0 0.0 12.6116 7.874599999999999 0.5
42 5 0 0.0 12.73 8.0423 0.5
44 5 0 0.0 13.0776 8.4001 0.5
46 5 0 0.0 12.9084 7.770999999999999 0.5
47 5 0 0.0 13.2914 7.8125 0.5
48 5 0 0.0 13.7874 8.1198 0.5
51 4 1 0.0 11.6324 7.9923 0.4
53 5 0 0.0 13.0454 7.8473 0.5
54 5 0 0.0 12.962 7.9491 0.5
55 4 1 0.0 14.556799999999999 8.5876 0.4
56 5 0 0.0 12.631 7.7156 0.5
57 5 0 0.0 13.612200000000001 7.8134 0.5
59 5 0 0.0 13.408599999999998 8.1423 0.5
60 5 0 0.0 13.465 7.9057 0.5
61 5 0 0.0 13.139999999999997 7.9289000000000005 0.5
63 5 0 0.0 13.260399999999999 7.7779 0.5
64 5 0 0.0 13.268799999999999 7.927 0.5
65 5 0 0.0 12.775599999999999 8.4451 0.5
66 4 1 0.0 11.752600000000001 7.8316 0.4
67 5 0 0.0 12.737800000000002 7.6937 0.5
68 5 0 0.0 12.765600000000001 8.2917 0.5
69 5 0 0.0 13.413999999999998 8.1977 0.5
70 5 0 0.0 14.113 7.9155 0.5
71 5 0 0.0 12.8112 7.8322 0.5
72 5 0 0.0 12.854399999999998 7.754299999999999 0.5
73 5 0 0.0 12.6164 8.2208 0.5
74 4 1 0.0 12.3614 8.594 0.4
75 5 0 0.0 12.796600000000002 7.830499999999999 0.5
76 5 0 0.0 13.334399999999999 7.818 0.5
77 5 0 0.0 13.1858 7.8372 0.5
78 5 0 0.0 14.4662 9.0217 0.5
79 5 0 0.0 13.030000000000001 7.8461 0.5
81 5 0 0.0 12.636800000000001 7.712300000000001 0.5
82 5 0 0.0 13.4362 9.1396 0.5
84 5 0 0.0 12.829999999999998 7.8991 0.5
87 5 0 0.0 12.887 7.996 0.5
88 5 0 0.0 12.902199999999999 7.7476 0.5
90 4 1 0.0 11.169999999999998 7.946600000000001 0.4
92 5 0 0.0 12.514999999999999 7.694 0.5
93 5 0 0.0 12.649199999999999 7.7829999999999995 0.5
94 5 0 0.0 12.654 7.5209 0.5
95 5 0 0.0 12.6068 7.7005 0.5
96 5 0 0.0 12.881 8.0041 0.5
98 5 0 0.0 12.3052 7.888800000000001 0.5
101 5 0 0.0 12.7396 7.540699999999999 0.5
102 5 0 0.0 13.546199999999999 7.7503 0.5
107 5 0 0.0 13.4342 8.4351 0.5
108 5 0 0.0 13.1268 7.8203000000000005 0.5
109 5 0 0.0 12.4512 8.101 0.5
110 5 0 0.0 12.9316 8.294 0.5
115 5 0 0.0 12.8596 7.991 0.5
116 5 0 0.0 12.752199999999998 7.7156 0.5
123 5 0 0.0 14.279599999999999 8.1178 0.5
125 5 0 0.0 12.9452 7.9724 0.5
127 5 0 0.0 14.1482 8.1692 0.5
128 5 0 0.0 12.8738 7.9857 0.5
129 5 0 0.0 12.972400000000002 8.2893 0.5
